Lab_Name,Test_Name,Price,City,Area,Latitude,Longitude
Apollo Diagnostics,Complete Blood Count,350,Hyderabad,Madhapur,17.4483,78.3915
Vijaya Diagnostics,Complete Blood Count,300,Hyderabad,Madhapur,17.4474,78.3908
Redcliffe Labs,Complete Blood Count,280,Hyderabad,Gachibowli,17.4401,78.3489
Metropolis Healthcare,Complete Blood Count,320,Hyderabad,Kukatpally,17.4948,78.3996
SRL Diagnostics,Blood Sugar Test,150,Hyderabad,Madhapur,17.4468,78.3921
Apollo Diagnostics,Blood Sugar Test,180,Hyderabad,Gachibowli,17.4395,78.3504
Vijaya Diagnostics,Blood Sugar Test,140,Hyderabad,Dilsukhnagar,17.3688,78.5247
Redcliffe Labs,Thyroid Profile,550,Hyderabad,Madhapur,17.4479,78.3899
Metropolis Healthcare,Thyroid Profile,600,Hyderabad,Gachibowli,17.4387,78.3522
SRL Diagnostics,Thyroid Profile,580,Hyderabad,Kondapur,17.4698,78.3678
